actor;platform;year
 thomas mann;ns3967;2019
 kim dickens;ns3967;2019
 w. earl brown;ns3967;2019
 william sadler;ns3967;2019
mohammad mansour;ns3969;2018
 bouthayna al raesi;ns3969;2018
 bassima hamada;ns3969;2018
 ahlaam muhammed;ns3969;2018
 shaimaa ali;ns3969;2018
 foaz al -shatti;ns3969;2018
 abdullah bahman;ns3969;2018
 abdulmohsen al-qaffas;ns3969;2018
 mohammed al dosari;ns3969;2018
emma appleton;ns3970;2019
 michael stuhlbarg;ns3970;2019
 luke treadaway;ns3970;2019
 keeley hawes;ns3970;2019
 brandon p. bell;ns3970;2019
 matt lauria;ns3970;2019
 jamie blackley;ns3970;2019
 david hargreaves;ns3970;2019
 sam hoare;ns3970;2019
 simon kunz;ns3970;2019
 greg mchugh;ns3970;2019
 stephen campbell moore;ns3970;2019
 cara horgan;ns3970;2019
george blagden;ns3971;2018
 alexander vlahos;ns3971;2018
 tygh runyan;ns3971;2018
 stuart bowman;ns3971;2018
 evan williams;ns3971;2018
 elisa lasowski;ns3971;2018
 joe sheridan;ns3971;2018
 steve cumyn;ns3971;2018
 anna brewster;ns3971;2018
 maddison jaizani;ns3971;2018
 pip torrens;ns3971;2018
 catherine walker;ns3971;2018
 lizzie brocheré;ns3971;2018
 geoffrey bateman;ns3971;2018
becky;ns3972;2018
 audrey;ns3972;2018
 mayuko kawakita;ns3972;2018
 shimon okura;ns3972;2018
prilly latuconsina;ns3973;2017
 sandrinna michelle;ns3973;2017
 shareefa daanish;ns3973;2017
 indra brotolaras;ns3973;2017
 kinaryosih;ns3973;2017
 inggrid widjanarko;ns3973;2017
 asha kenyeri bermudez;ns3973;2017
 wesley andrew;ns3973;2017
 kevin bzezovski taroreh;ns3973;2017
 gamaharitz;ns3973;2017
fedi nuril;ns3974;2008
 rianti cartwright;ns3974;2008
 carissa putri;ns3974;2008
 melanie putria;ns3974;2008
 zaskia adya mecca;ns3974;2008
 surya saputra;ns3974;2008
 dennis adhiswara;ns3974;2008
 oka antara;ns3974;2008
nate bargatze;ns3975;2019
nakhul;ns3976;2018
 aanchal munjal;ns3976;2018
 nassar;ns3976;2018
 prakash raj;ns3976;2018
 thalaivasal vijay;ns3976;2018
 manobala;ns3976;2018
 jeyan cherthala;ns3976;2018
 annadurai kannadasan;ns3976;2018
mohamed ramadan;ns3977;2018
 sayed rajab;ns3977;2018
 dorra zarrouk;ns3977;2018
 dina talaat;ns3977;2018
 aida reyad;ns3977;2018
dani rovira;ns3978;2018
 alexandra jiménez;ns3978;2018
 julián lópez;ns3978;2018
 maribel verdú;ns3978;2018
 pedro casablanc;ns3978;2018
 gracia olayo;ns3978;2018
 ferran rañé;ns3978;2018
 gonzalo de castro;ns3978;2018
 mireia portas;ns3978;2018
sarun cinsuvapala;ns3979;2017
 pramote pathan;ns3979;2017
 suphachai subprasert;ns3979;2017
 somyos matures;ns3979;2017
 supavitch nepremwattana;ns3979;2017
 nachjaree horvejkul;ns3979;2017
 jatupone chompoonich;ns3979;2017
 chertsak pratumseesakhon;ns3979;2017
jacob soley;ns3980;2019
 saara chaudry;ns3980;2019
 tyler barish;ns3980;2019
 zoe hatz;ns3980;2019
 julie lemieux;ns3980;2019
 joseph motiki;ns3980;2019
 shoshana sperling;ns3980;2019
 adrianna di liello;ns3980;2019
 deann degruijter;ns3980;2019
 stacey depass;ns3980;2019
jorge a. jiménez;ns3981;2019
 ilse salas;ns3981;2019
 alberto guerra;ns3981;2019
 gustavo sánchez parra;ns3981;2019
 jorge antonio guerrero;ns3981;2019
 ari brickman;ns3981;2019
 martín altomaro;ns3981;2019
 hernán del riego;ns3981;2019
 norma angélica;ns3981;2019
 lisa owen;ns3981;2019
 eligio meléndez;ns3981;2019
 marco treviño;ns3981;2019
 pedro de tavira egurrola;ns3981;2019
 leonardo alonso;ns3981;2019
shefali shah;ns3982;2019
 rajesh tailang;ns3982;2019
 rasika dugal;ns3982;2019
 adil hussain;ns3982;2019
 vinod sharawat;ns3982;2019
 mridul sharma;ns3982;2019
 gopal dutt tiwari;ns3982;2019
 anurag arora;ns3982;2019
 gaurav rana;ns3982;2019
 yashaswini dayama;ns3982;2019
adriana ugarte;ns3983;2018
 chino darín;ns3983;2018
 javier gutiérrez;ns3983;2018
 álvaro morte;ns3983;2018
 nora navas;ns3983;2018
 miquel fernández;ns3983;2018
 clara segura;ns3983;2018
 mima riera;ns3983;2018
 aina clotet;ns3983;2018
 albert pérez;ns3983;2018
 julio bohigas-couto;ns3983;2018
 belén rueda;ns3983;2018
abdul mohsen alnimer;ns3985;2018
 haifa hussien;ns3985;2018
 qahtan alqahtani;ns3985;2018
 mohammed sefer;ns3985;2018
 abdulla bu shehri;ns3985;2018
douglas booth;ns3986;2019
 iwan rheon;ns3986;2019
 colson baker;ns3986;2019
 daniel webber;ns3986;2019
 david costabile;ns3986;2019
 pete davidson;ns3986;2019
brit marling;ns3987;2019
 jason isaacs;ns3987;2019
 emory cohen;ns3987;2019
 scott wilson;ns3987;2019
 phyllis smith;ns3987;2019
 alice krige;ns3987;2019
 patrick gibson;ns3987;2019
 brendan meyer;ns3987;2019
 brandon perea;ns3987;2019
 ian alexander;ns3987;2019
 will brill;ns3987;2019
 riz ahmed;ns3987;2019
 paz vega;ns3987;2019
catherine o'connor;ns3989;2007
 andrew sabiston;ns3989;2007
 jim fowler;ns3989;2007
kyoko yoshine;ns3990;2019
 hiroki iijima;ns3990;2019
 kanako miyashita;ns3990;2019
 yo oizumi;ns3990;2019
 ken yasuda;ns3990;2019
vice ganda;ns3991;2014
 bimby aquino-yap;ns3991;2014
 alex gonzaga;ns3991;2014
 tom rodriguez;ns3991;2014
vice ganda;ns3992;2016
 coco martin;ns3992;2016
 onyok pineda;ns3992;2016
 awra briguela;ns3992;2016
 assunta de rossi;ns3992;2016
 pepe herrera;ns3992;2016
 joem bascon;ns3992;2016
 matet de leon;ns3992;2016
 kiray celis;ns3992;2016
 lassy marquez;ns3992;2016
 mc calaquian;ns3992;2016
sam milby;ns3993;2016
 angel locsin;ns3993;2016
 zanjoe marudo;ns3993;2016
 cherry pie picache;ns3993;2016
 alma moreno;ns3993;2016
 matet de leon;ns3993;2016
 al tantay;ns3993;2016
 beauty gonzalez;ns3993;2016
 katrina michelle legaspi;ns3993;2016
angelica panganiban;ns3994;2016
 dingdong dantes;ns3994;2016
 paulo avelino;ns3994;2016
 maricar reyes;ns3994;2016
 denise laurel;ns3994;2016
 dimples romana;ns3994;2016
 justin cuyugan;ns3994;2016
 mart escudero;ns3994;2016
 pamu pamorada;ns3994;2016
 lei andre navarro;ns3994;2016
 irma adlawan;ns3994;2016
julia barretto;ns3995;2016
 joshua garcia;ns3995;2016
 ronnie alonte;ns3995;2016
 maris racal;ns3995;2016
 ina raymundo;ns3995;2016
 shamaine centenera;ns3995;2016
 ana abad-santos;ns3995;2016
 jeric raval;ns3995;2016
 allan paule;ns3995;2016
 manuel chua;ns3995;2016
alexis viera;ns3996;2019
shahd el yaseen;ns3997;2018
 shaila sabt;ns3997;2018
 hala;ns3997;2018
 hanadi al-kandari;ns3997;2018
 salma salem;ns3997;2018
 ibrahim al-harbi;ns3997;2018
 mahmoud boushahri;ns3997;2018
 yousef al balushi;ns3997;2018
 ghorour;ns3997;2018
 abdullah al-bloshi;ns3997;2018
aishwarya ghaydar;ns3998;2018
 amol deshmukh;ns3998;2018
 adarsh kurne;ns3998;2018
 vishwas kamble;ns3998;2018
 neha awati;ns3998;2018
 amaraja patil;ns3998;2018
 rinkle chopde;ns3998;2018
 shreyas gurav;ns3998;2018
natsumi ishibashi;ns3999;2019
 aoi nakamura;ns3999;2019
amy schumer;ns4000;2019
josh pais;ns4001;2014
 claire van der boom;ns4001;2014
 morgan freeman;ns4001;2014
 diane keaton;ns4001;2014
 carrie preston;ns4001;2014
 cynthia nixon;ns4001;2014
 korey jackson;ns4001;2014
 diane ciesla;ns4001;2014
 michael cristofer;ns4001;2014
jam hsiao;ns4002;2019
 bea hayden kuo;ns4002;2019
 enno cheng;ns4002;2019
 hsieh ying-xuan;ns4002;2019
 jason king;ns4002;2019
 lan wei-hua;ns4002;2019
 shen hai jung;ns4002;2019
 ruby zhan;ns4002;2019
 blue lan;ns4002;2019
radhika apte;ns4003;2018
 siddhant kapoor;ns4003;2018
 akshay oberoi;ns4003;2018
 adil hussain;ns4003;2018
 amit sial;ns4003;2018
 ravi kishan;ns4003;2018
 ajinkya deo;ns4003;2018
 shilpa shukla;ns4003;2018
olivier rabourdin;ns4004;2017
 françois civil;ns4004;2017
 manon azem;ns4004;2017
 samuel jouy;ns4004;2017
 narcisse mame;ns4004;2017
 naël rabia;ns4004;2017
 sam louwyck;ns4004;2017
 luc schwarz;ns4004;2017
 mario magalhaes;ns4004;2017
 marc-antoine duquenne;ns4004;2017
edoardo ferrario;ns4005;2019
victor polster;ns4006;2018
 arieh worthalter;ns4006;2018
 oliver bodart;ns4006;2018
 tijmen govaerts;ns4006;2018
 katelijne damen;ns4006;2018
 valentijn dhaenens;ns4006;2018
 magali elali;ns4006;2018
 alice de broqueville;ns4006;2018
 chris thys;ns4006;2018
 angelo tijssens;ns4006;2018
pablo derqui;ns4007;2018
 mercedes sampietro;ns4007;2018
 andrea ros;ns4007;2018
 javier beltrán;ns4007;2018
 paula malia;ns4007;2018
 david vert;ns4007;2018
 muguet franc;ns4007;2018
 miquel garcía borda;ns4007;2018
 berta garcia;ns4007;2018
 joel bramona;ns4007;2018
 montse guallar;ns4007;2018
 abel folk;ns4007;2018
 sergi lópez;ns4007;2018
 òscar jarque;ns4007;2018
 eli iranzo;ns4007;2018
jeff dunham;ns4008;2006
jeff dunham;ns4009;2011
jeff dunham;ns4010;2012
jeff dunham;ns4011;2008
 brian haner;ns4011;2008
chien-ming wang;ns4012;2018
khaled amin;ns4013;2018
 elham al fadalah;ns4013;2018
 fatima al safi;ns4013;2018
 fahad basim;ns4013;2018
 farah elsaraf;ns4013;2018
 hala;ns4013;2018
hairul azreen;ns4014;2018
 ammar alfian;ns4014;2018
 jasmine suraya;ns4014;2018
 henley hii;ns4014;2018
 hafizul kamal;ns4014;2018
 theebaan govindasamy;ns4014;2018
 gambit saifullah;ns4014;2018
 taufiq hanafi;ns4014;2018
 nam ron;ns4014;2018
 amerul affendi;ns4014;2018
 tiger chen;ns4014;2018
taylor clarke-hill;ns4015;2018
 tom clarke-hill;ns4015;2018
 larissa murray;ns4015;2018
 brianna price;ns4015;2018
 michael obiora;ns4015;2018
 morwenna banks;ns4015;2018
 rufus jones;ns4015;2018
 duncan wisbey;ns4015;2018
 danny john-jules;ns4015;2018
 ali a;ns4015;2018
idris elba;ns4017;2019
 piper perabo;ns4017;2019
 jj feild;ns4017;2019
 frankie hervey;ns4017;2019
 guz khan;ns4017;2019
maricel soriano;ns4018;2007
 aga muhlach;ns4018;2007
 angelica panganiban;ns4018;2007
 dante rivero;ns4018;2007
 chin chin gutierrez;ns4018;2007
 bobby andrews;ns4018;2007
 tj trinidad;ns4018;2007
 baron geisler;ns4018;2007
 john arcilla;ns4018;2007
 gerald madrid;ns4018;2007
kathryn bernardo;ns4019;2016
 daniel padilla;ns4019;2016
 joshua garcia;ns4019;2016
 aiko melendez;ns4019;2016
 joey marquez;ns4019;2016
 ricky davao;ns4019;2016
 maria isabel lopez;ns4019;2016
 ana capri;ns4019;2016
 cris villanueva;ns4019;2016
angel locsin;ns4020;2016
 xian lim;ns4020;2016
 vilma santos;ns4020;2016
 michael de mesa;ns4020;2016
 nonie buencamino;ns4020;2016
 khalil ramos;ns4020;2016
 devon seron;ns4020;2016
 alexa ilacad;ns4020;2016
 nor domingo;ns4020;2016
 robert villar;ns4020;2016
john lloyd cruz;ns4021;2017
 sarah geronimo;ns4021;2017
 enchong dee;ns4021;2017
 christian bables;ns4021;2017
 joey marquez;ns4021;2017
 yayo aguila;ns4021;2017
 tetchie agbayani;ns4021;2017
 dennis padilla;ns4021;2017
 leo rialp;ns4021;2017
 alwyn uytingco;ns4021;2017
ronaldo valdez;ns4022;2017
 aga muhlach;ns4022;2017
 dingdong dantes;ns4022;2017
 enrique gil;ns4022;2017
 cristine reyes;ns4022;2017
 donita rose;ns4022;2017
 ketchup eusebio;ns4022;2017
 kean cipriano;ns4022;2017
yousra;ns4023;2018
 naglaa badr;ns4023;2018
 sherine reda;ns4023;2018
 ahmed hatem;ns4023;2018
 hesham selim;ns4023;2018
 ingi abou zeid;ns4023;2018
 farouk el fishawy;ns4023;2018
 mahmoud fares;ns4023;2018
 tayam amar;ns4023;2018
 heba abdelaziz;ns4023;2018
 heba abdelghany;ns4023;2018
 mariam el khosht;ns4023;2018
mohamed henedy;ns4024;2018
 dalal abdel aziz;ns4024;2018
 hana shiha;ns4024;2018
 mohammed tharwat;ns4024;2018
 salwa mohammed;ns4024;2018
 mohammed hafiz;ns4024;2018
 ibrahim issa;ns4024;2018
 leila ezz al arab;ns4024;2018
 mohammed mahmoud;ns4024;2018
ben affleck;ns4025;2019
 oscar isaac;ns4025;2019
 charlie hunnam;ns4025;2019
 pedro pascal;ns4025;2019
 garrett hedlund;ns4025;2019
 adria arjona;ns4025;2019
jimmy carr;ns4026;2019
ameena khalil;ns4027;2018
 zafer abdeen;ns4027;2018
 injy el mokkaddem;ns4027;2018
 khaled kamal;ns4027;2018
 cherif hafez;ns4027;2018
 carmen bsaibes;ns4027;2018
 mourad makram;ns4027;2018
 leila ezz al arab;ns4027;2018
 asmaa abou el yazeed;ns4027;2018
 nadine nassib njeim;ns4027;2018
eyad nassar;ns4028;2017
 ahmed dawood;ns4028;2017
 mohamed farraag;ns4028;2017
 hanan motawie;ns4028;2017
 arwa gouda;ns4028;2017
 bassel alzaro;ns4028;2017
daniel wu;ns4029;2018
 emily beecham;ns4029;2018
 sarah bolger;ns4029;2018
 oliver stark;ns4029;2018
 orla brady;ns4029;2018
 ally ioannides;ns4029;2018
 stephen lang;ns4029;2018
 marton csokas;ns4029;2018
 madeleine mantock;ns4029;2018
 aramis knight;ns4029;2018
wanida termthanaporn;ns4030;2018
 isariya patharamanop;ns4030;2018
 nontanun anchuleepradit;ns4030;2018
 chonnikan netjui;ns4030;2018
 attharut krongrasri;ns4030;2018
 sumet ong-art;ns4030;2018
 penpak sirikul;ns4030;2018
 suppakorn chaiyo;ns4030;2018
 thawat pornrattanaprasert;ns4030;2018
 m.l. kwantip devakula;ns4030;2018
 yingsak chonglertjetsadawong;ns4030;2018
 apichet atirattana;ns4030;2018
 rika ishige;ns4030;2018
nelly karim;ns4031;2018
 mohamed mamdouh;ns4031;2018
 hesham selim;ns4031;2018
hussain al hosani;ns4032;2018
 ali almarzouqi;ns4032;2018
 abdullah al yousef;ns4032;2018
 omar al hafidh;ns4032;2018
 meral niazi;ns4032;2018
 yaser hassan;ns4032;2018
 fatema almansoori;ns4032;2018
 ahmed el mohammdi;ns4032;2018
kerem bürsin;ns4033;2018
 elçin sangu;ns4033;2018
 birkan sokullu;ns4033;2018
 selma ergeç;ns4033;2018
 türkü turan;ns4033;2018
 nilperi şahinkaya;ns4033;2018
 efecan şenolsun;ns4033;2018
 elit i̇şcan;ns4033;2018
alfre woodard;ns4034;2019
 adam beach;ns4034;2019
 latanya richardson jackson;ns4034;2019
 marcus henderson;ns4034;2019
 blair underwood;ns4034;2019
 ashlie atkinson;ns4034;2019
 tsulan cooper;ns4034;2019
cécile de france;ns4035;2019
 edouard baer;ns4035;2019
 alice isaaz;ns4035;2019
 natalia dontcheva;ns4035;2019
hussein almansour;ns4036;2018
 shujoon;ns4036;2018
 mohammed alalawi;ns4036;2018
 noor alghandour;ns4036;2018
 fahad basim;ns4036;2018
 hamad ashkanani;ns4036;2018
spencer locke;ns4037;2019
 missi pyle;ns4037;2019
 sherri shepherd;ns4037;2019
 bailey chase;ns4037;2019
 alyvia alyn lind;ns4037;2019
 max ehrich;ns4037;2019
 corbin bleu;ns4037;2019
 kathleen rose perkins;ns4037;2019
sanaa lathan;ns4038;2018
 ricky whittle;ns4038;2018
 lynn whitfield;ns4038;2018
 lyriq bent;ns4038;2018
 ernie hudson;ns4038;2018
ai-ai de las alas;ns4039;2012
 vice ganda;ns4039;2012
 kris aquino;ns4039;2012
 xyriel manabat;ns4039;2012
 daniel padilla;ns4039;2012
 kathryn bernardo;ns4039;2012
 tirso cruz iii;ns4039;2012
 deejay durano;ns4039;2012
 gloria diaz;ns4039;2012
 jeffrey quizon;ns4039;2012
piolo pascual;ns4040;2014
 toni gonzaga;ns4040;2014
 iza calzado;ns4040;2014
angelica panganiban;ns4041;2015
 jm de guzman;ns4041;2015
richard gomez;ns4042;2015
 dawn zulueta;ns4042;2015
 bea alonzo;ns4042;2015
 tom rodriguez;ns4042;2015
 tetchie agbayani;ns4042;2015
 al tantay;ns4042;2015
 ana capri;ns4042;2015
 ina feleo;ns4042;2015
cuba gooding jr.;ns4043;2016
 sarah paulson;ns4043;2016
 john travolta;ns4043;2016
 courtney b. vance;ns4043;2016
 sterling k. brown;ns4043;2016
 kenneth choi;ns4043;2016
 christian clemenson;ns4043;2016
 bruce greenwood;ns4043;2016
 nathan lane;ns4043;2016
 david schwimmer;ns4043;2016
 chris bauer;ns4043;2016
 jordana brewster;ns4043;2016
 selma blair;ns4043;2016
 connie britton;ns4043;2016
anna torv;ns4044;2016
 jacki weaver;ns4044;2016
 dan wyllie;ns4044;2016
 alex dimitriades;ns4044;2016
 damon herriman;ns4044;2016
 mekhi phifer;ns4044;2016
 eugenia yuan;ns4044;2016
 matt zeremes;ns4044;2016
 alan dale;ns4044;2016
lee seung-gi;ns4045;2017
 cha seung-won;ns4045;2017
 oh yeon-seo;ns4045;2017
 lee hong-gi;ns4045;2017
 jang gwang;ns4045;2017
 lee se-young;ns4045;2017
michael jai white;ns4046;2019
 luke goss;ns4046;2019
 randy couture;ns4046;2019
 madalina anea;ns4046;2019
 grant campbell;ns4046;2019
 george remes;ns4046;2019
 ovidiu niculescu;ns4046;2019
 adreea diac;ns4046;2019
 michaela holla;ns4046;2019
 bogden farcas;ns4046;2019
enrique gil;ns4047;2015
 liza soberano;ns4047;2015
 gerald anderson;ns4047;2015
 aiko melendez;ns4047;2015
 carmina villaroel;ns4047;2015
 ariel rivera;ns4047;2015
 marissa delgado;ns4047;2015
 liza lorena;ns4047;2015
anne curtis;ns4048;2011
 derek ramsay;ns4048;2011
 cristine reyes;ns4048;2011
 tirso cruz iii;ns4048;2011
 carmi martin;ns4048;2011
 john arcilla;ns4048;2011
 marlann flores;ns4048;2011
 ron morales;ns4048;2011
 kat alano;ns4048;2011
fumi nikaido;ns4049;2018
 ryo yoshizawa;ns4049;2018
 shuhei uesugi;ns4049;2018
 sumire;ns4049;2018
 shiori doi;ns4049;2018
 aoi morikawa;ns4049;2018
vijay;ns4050;2018
 varalakshmi sarathkumar;ns4050;2018
 keerthi suresh;ns4050;2018
 radha ravi;ns4050;2018
 pala karuppaiah;ns4050;2018
 yogi babu;ns4050;2018
artiwara kongmalai;ns4052;2018
manu payet;ns4054;2018
 jonathan cohen;ns4054;2018
 monsieur poulpe;ns4054;2018
 alice belaïdi;ns4054;2018
 alix poisson;ns4054;2018
hong bum-ki;ns4056;2019
 eddy lee;ns4056;2019
 ahn hyo-min;ns4056;2019
 kang shi-hyun;ns4056;2019
 tom wayland;ns4056;2019
 erica schroeder;ns4056;2019
william baldwin;ns4058;2019
 kathleen robertson;ns4058;2019
 spencer macpherson;ns4058;2019
 taylor thorne;ns4058;2019
 amalia williamson;ns4058;2019
 michelle nolden;ns4058;2019
 peter macneill;ns4058;2019
 natalie lisinska;ns4058;2019
bradley steven perry;ns4059;2014
 joshua j. ballard;ns4059;2014
 tyrel jackson williams;ns4059;2014
 brittney wilson;ns4059;2014
 taylor russell;ns4059;2014
 nicholas coombe;ns4059;2014
 rachelle gillis;ns4059;2014
 kevin o'grady;ns4059;2014
andrei indreies;ns4060;2018
 jean-baptiste heuet;ns4060;2018
 jose atuncar;ns4060;2018
 pierre porquet;ns4060;2018
 claudine bertin;ns4060;2018
 gabriella jordan;ns4060;2018
 effie rey;ns4060;2018
 catalin morar;ns4060;2018
 antoine rodriguez;ns4060;2018
debby ryan;ns4061;2012
 sarena parmar;ns4061;2012
 adam dimarco;ns4061;2012
 merritt patterson;ns4061;2012
 nancy robertson;ns4061;2012
g.v. prakash kumar;ns4062;2018
 nedumudi venu;ns4062;2018
 aparna balamurali;ns4062;2018
 divyadarshini;ns4062;2018
 vineeth;ns4062;2018
 kumaravel;ns4062;2018
 ravi prakash;ns4062;2018
 sumesh;ns4062;2018
maxwell simba;ns4063;2019
 chiwetel ejiofor;ns4063;2019
 aïssa maïga;ns4063;2019
 lily banda;ns4063;2019
 lemogang tsipa;ns4063;2019
 philbert falakeza;ns4063;2019
 joseph marcell;ns4063;2019
 noma dumezweni;ns4063;2019
hiroshi kamiya;ns4064;2018
 daisuke ono;ns4064;2018
 nobunaga shimazaki;ns4064;2018
 satoshi hino;ns4064;2018
 natsuki hanae;ns4064;2018
 ai kayano;ns4064;2018
 yukari tamura;ns4064;2018
 mitsuo iwata;ns4064;2018
 rikako aikawa;ns4064;2018
luis aguirre;ns4065;2018
 andrea quattrocchi;ns4065;2018
 silvio rodas;ns4065;2018
 felix medina;ns4065;2018
 gonzalo vivanco;ns4065;2018
 bruno sosa;ns4065;2018
 andrea frigerio;ns4065;2018
 mauricio a. jortack;ns4065;2018
 rafael rojas doria;ns4065;2018
 roberto weiss;ns4065;2018
 fabio chamorro;ns4065;2018
 sergio quiñonez román;ns4065;2018
 david gerber;ns4065;2018
freddie highmore;ns4066;2008
 mary-louise parker;ns4066;2008
 sarah bolger;ns4066;2008
 joan plowright;ns4066;2008
 david strathairn;ns4066;2008
 nick nolte;ns4066;2008
 seth rogen;ns4066;2008
 andrew mccarthy;ns4066;2008
 martin short;ns4066;2008
josé coronado;ns4067;2018
 ana wagener;ns4067;2018
 asia ortega;ns4067;2018
 pol monen;ns4067;2018
 ester expósito;ns4067;2018
najwa nimri;ns4068;2018
 eva llorach;ns4068;2018
 carme elias;ns4068;2018
 natalia de molina;ns4068;2018
 julián villagrán;ns4068;2018
 ignacio mateos;ns4068;2018
 lorena iglesias;ns4068;2018
 vicenta n'dongo;ns4068;2018
 inma cuevas;ns4068;2018
 per-olav sorensen;ns4068;2018
john lloyd cruz;ns4069;2015
 bea alonzo;ns4069;2015
 dimples romana;ns4069;2015
 janus del prado;ns4069;2015
 james blanco;ns4069;2015
 ahron villena;ns4069;2015
 beatriz saw;ns4069;2015
 shamaine centenera;ns4069;2015
 khalil ramos;ns4069;2015
 billy crawford;ns4069;2015
 al tantay;ns4069;2015
 arci muñoz;ns4069;2015
vice ganda;ns4070;2015
 coco martin;ns4070;2015
 james reid;ns4070;2015
 nadine lustre;ns4070;2015
 karla estrada;ns4070;2015
 ryan bang;ns4070;2015
 badjie mortiz;ns4070;2015
 alonzo muhlach;ns4070;2015
 marco masa;ns4070;2015
 lassy marquez;ns4070;2015
 mc calaquian;ns4070;2015
kim chiu;ns4071;2014
 xian lim;ns4071;2014
 empoy marquez;ns4071;2014
 martin del rosario;ns4071;2014
 pilita corrales;ns4071;2014
 tirso cruz iii;ns4071;2014
 dennis padilla;ns4071;2014
 matt evans;ns4071;2014
 lloyd zaragoza;ns4071;2014
 zeppi borromeo;ns4071;2014
kathryn bernardo;ns4072;2017
 daniel padilla;ns4072;2017
 matteo guidicelli;ns4072;2017
 zanjoe marudo;ns4072;2017
 cherry pie picache;ns4072;2017
 lotlot de leon;ns4072;2017
 dennis padilla;ns4072;2017
 lito pimentel;ns4072;2017
 joross gamboa;ns4072;2017
 janus del prado;ns4072;2017
mona ambegaonkar;ns4073;2018
 anant mahadevan;ns4073;2018
 devansh doshi;ns4073;2018
 arpit chaudhary;ns4073;2018
 yamini singh;ns4073;2018
 abhay kulkarni;ns4073;2018
 veena nair;ns4073;2018
 disha thakur;ns4073;2018
bea alonzo;ns4074;2013
 toni gonzaga;ns4074;2013
 angel locsin;ns4074;2013
 shaina magdayao;ns4074;2013
 enchong dee;ns4074;2013
 sam milby;ns4074;2013
 angeline quinto;ns4074;2013
 coney reyes;ns4074;2013
john lloyd cruz;ns4075;2013
 sarah geronimo;ns4075;2013
 rowell santiago;ns4075;2013
 al tantay;ns4075;2013
 irma adlawan;ns4075;2013
 joross gamboa;ns4075;2013
 gio alvarez;ns4075;2013
 matet de leon;ns4075;2013
 miles ocampo;ns4075;2013
 andre garcia;ns4075;2013
 dante rivero;ns4075;2013
 isabelle daza;ns4075;2013
liza soberano;ns4076;2017
 enrique gil;ns4076;2017
 joey marquez;ns4076;2017
 cai cortez;ns4076;2017
 arlene muchlach;ns4076;2017
 ara mina;ns4076;2017
 ryan bang;ns4076;2017
 joross gamboa;ns4076;2017
 jeffrey tam;ns4076;2017
 neils coleta;ns4076;2017
kathryn bernardo;ns4077;2014
 daniel padilla;ns4077;2014
 richard gomez;ns4077;2014
 dawn zulueta;ns4077;2014
 sofia andres;ns4077;2014
 khalil ramos;ns4077;2014
 ian veneracion;ns4077;2014
 pamu pamorada;ns4077;2014
 igi boy flores;ns4077;2014
 marco gumabao;ns4077;2014
piolo pascual;ns4078;2015
 sarah geronimo;ns4078;2015
 rio locsin;ns4078;2015
 dennis padilla;ns4078;2015
 badjie mortiz;ns4078;2015
 teddy corpuz;ns4078;2015
 anna luna;ns4078;2015
 jett pangan;ns4078;2015
 cris villonco;ns4078;2015
 maris racal;ns4078;2015
john lloyd cruz;ns4079;2012
 bea alonzo;ns4079;2012
 hilda koronel;ns4079;2012
 ronaldo valdez;ns4079;2012
 anita linda;ns4079;2012
 carmi martin;ns4079;2012
josh duhamel;ns4080;2018
 jimmi simpson;ns4080;2018
 bokeem woodbine;ns4080;2018
zach galifianakis;ns4081;2006
 brian unger;ns4081;2006
ravi bhushan bhartiya;ns4082;2018
 shalini mohan;ns4082;2018
 bhaskar jha;ns4082;2018
 manohar pandey;ns4082;2018
 siddharth bharadwaj;ns4082;2018
 jay shanker pandey;ns4082;2018
 deepak jha;ns4082;2018
 komal singh;ns4082;2018
mario casas;ns4083;2018
 richard van weyden;ns4083;2018
 alain hernández;ns4083;2018
 adrià salazar;ns4083;2018
 eduard buch;ns4083;2018
 stefan weinert;ns4083;2018
 rubén yuste;ns4083;2018
 nikola stojanovic;ns4083;2018
 frank feys;ns4083;2018
 marc rodríguez;ns4083;2018
 albert mora;ns4083;2018
 luka peros;ns4083;2018
 rainer reiners;ns4083;2018
 toni gomila;ns4083;2018
 emilio gavira;ns4083;2018
 macarena gómez;ns4083;2018
bert kreischer;ns4084;2016
usha jadhav;ns4086;2019
 girish kulkarni;ns4086;2019
 sachin khedekar;ns4086;2019
 rajeshwari sachdev;ns4086;2019
 rushad rana;ns4086;2019
 mrunal oak;ns4086;2019
mark duplass;ns4087;2019
 ray romano;ns4087;2019
noémie schmidt;ns4088;2019
 grégoire isvarine;ns4088;2019
 marie mottet;ns4088;2019
 lou castel;ns4088;2019
 mathias minne;ns4088;2019
 margaux bonin;ns4088;2019
 julia kouakou;ns4088;2019
 alexandre schreiber;ns4088;2019
 schemci lauth;ns4088;2019
 theo tagand;ns4088;2019
 clément olivieri;ns4088;2019
 doria achour;ns4088;2019
tanuja;ns4089;2018
 jishu sengupta;ns4089;2018
 parambrata chatterjee;ns4089;2018
 arunima ghosh;ns4089;2018
 shrijato banerjee;ns4089;2018
 soumitra chatterjee;ns4089;2018
 gargi roychowdhury;ns4089;2018
zoe ball;ns4090;2018
 nadiya hussain;ns4090;2018
 giorgio locatelli;ns4090;2018
 rosemary shrager;ns4090;2018
apollo costa;ns4091;2018
 gabriel santana;ns4091;2018
 matheus lustosa;ns4091;2018
 pedro rezende;ns4091;2018
